cgpa,aptitude_score,communication_skills,num_projects,internships,technical_skills,certifications,dsa_level,attendance,placement_score,placed
6.46,73,2,5,0,5,7,2,85.3,34.93,0
7.31,56,5,9,3,14,1,9,83.7,62.73,1
6.62,82,6,2,0,5,0,7,84.4,41.44,0
6.12,82,4,6,1,7,5,10,65.1,63.23,1
8.43,92,3,3,2,15,5,8,79.4,69.1,1
9.41,55,7,2,0,11,3,6,77.6,48.7,0
6.1,41,2,7,4,15,1,9,81.9,54.15,1
8.06,73,6,3,4,3,4,6,79.4,46.86,0
6.85,94,4,10,2,6,3,7,82.6,64.49,1
7.01,47,6,0,3,7,6,7,74.3,50.96,0
6.91,52,4,5,3,1,6,9,78.7,62.39,1
6.64,81,4,9,0,12,7,8,63.3,59.19,1
7.55,47,4,10,3,2,2,1,74.2,44.01,0
6.67,69,9,10,2,12,5,4,94.7,63.53,1
7.77,71,7,0,0,4,4,7,81.8,42.37,0
7.45,75,3,4,1,13,1,8,77.7,42.49,0
7.26,86,3,6,3,8,3,7,100.0,61.15,1
6.59,69,6,5,3,11,4,3,61.7,48.09,0
6.92,40,6,1,0,13,3,4,64.7,33.19,0
8.26,82,4,10,4,14,3,7,98.6,79.94,1
8.0,78,9,3,3,10,3,8,78.6,72.08,1
6.52,56,4,10,2,6,1,7,75.1,46.63,0
7.6,98,9,1,3,1,4,6,63.6,56.05,1
8.25,59,4,10,1,10,0,9,83.4,62.95,1
5.83,63,2,0,3,5,0,9,84.5,33.56,0
8.04,89,2,2,4,7,1,7,64.9,58.94,1
6.84,61,5,2,3,15,6,8,76.3,60.42,1
8.07,68,4,6,0,13,1,6,74.0,48.44,0
6.74,61,7,0,3,6,5,1,81.1,37.22,0
5.7,83,5,8,4,13,3,1,64.6,47.08,0
5.87,48,6,10,0,13,4,6,93.0,48.54,0
7.55,76,10,5,2,12,4,2,89.0,74.97,1
7.76,49,4,3,0,9,2,8,73.6,36.19,0
6.6,75,2,2,1,8,2,1,75.4,23.11,0
8.14,76,10,2,0,15,7,2,76.4,57.19,1
5.84,67,9,1,2,4,0,8,68.7,38.46,0
7.43,67,10,1,3,13,2,6,72.7,59.25,1
6.29,81,7,9,0,11,2,10,74.8,63.1,1
6.85,82,4,4,0,12,0,2,97.4,26.3,0
7.55,60,3,8,0,5,5,2,89.4,46.03,0
6.64,63,10,1,0,7,6,7,89.2,53.75,0
7.12,81,3,1,2,8,0,5,82.4,31.2,0
8.51,99,9,5,4,5,6,5,64.6,63.92,1
6.92,79,5,9,4,9,7,8,77.5,70.41,1
8.34,41,3,1,0,14,2,7,89.6,41.22,0
6.37,94,5,3,2,10,4,9,62.9,72.39,1
8.03,47,2,5,2,12,2,4,85.6,48.8,0
8.94,87,4,4,0,4,3,10,100.0,51.44,0
5.03,66,10,0,1,4,7,4,90.7,32.52,0
6.7,61,2,5,0,13,6,2,95.0,37.77,0
8.08,76,2,0,1,8,6,3,80.6,41.62,0
7.3,66,8,2,0,1,3,1,89.6,22.96,0
7.87,96,1,9,1,8,3,1,69.4,45.42,0
6.9,68,7,4,1,5,5,7,87.6,47.65,0
7.59,42,5,9,0,13,1,5,85.9,41.72,0
7.34,83,8,4,1,14,3,3,81.5,57.51,1
8.67,52,1,9,3,11,6,7,93.8,74.47,1
7.75,84,7,5,4,1,4,2,71.5,60.18,1
7.84,49,5,9,2,4,6,3,75.8,55.26,1
7.09,75,4,7,1,2,6,1,79.1,36.65,0
7.01,48,7,4,1,4,5,8,65.6,50.73,0
7.07,93,10,10,2,8,1,2,80.7,64.86,1
7.89,95,2,0,1,5,1,7,57.4,39.33,0
7.08,94,1,4,2,1,3,9,90.6,45.71,0
7.79,66,1,2,0,7,7,6,78.6,37.45,0
9.58,73,1,3,3,1,2,2,71.7,43.05,0
8.37,90,5,7,3,9,6,2,68.0,80.06,1
7.17,40,10,6,4,3,0,9,75.2,61.71,1
8.7,71,7,10,1,12,2,10,86.3,76.15,1
7.09,64,2,4,4,3,2,8,84.6,44.26,0
5.46,68,10,1,0,15,1,9,69.5,43.28,0
6.49,46,8,5,3,15,1,4,67.8,63.17,1
5.63,88,4,10,0,6,5,4,85.9,42.41,0
7.15,42,3,5,0,10,5,2,69.3,36.25,0
7.52,59,10,9,1,6,1,10,78.7,64.55,1
9.18,59,8,9,0,13,4,1,79.5,63.05,1
7.83,92,2,10,3,11,4,10,81.7,83.71,1
7.28,69,3,5,4,11,0,4,88.3,48.23,0
8.33,74,3,8,3,6,1,10,62.8,61.46,1
5.29,74,10,10,1,13,3,10,55.1,75.44,1
7.74,88,1,7,3,1,5,8,71.2,64.1,1
8.27,78,6,7,2,5,1,2,99.6,58.88,1
6.02,66,2,0,4,12,4,8,100.0,55.03,1
8.64,65,1,4,2,6,1,1,100.0,41.35,0
7.84,53,2,6,2,8,4,1,75.7,51.49,0
7.08,56,6,5,1,13,1,4,56.6,42.02,0
8.13,57,4,4,0,1,6,7,49.9,43.86,0
9.77,84,6,7,2,5,3,9,70.6,67.84,1
7.68,91,9,2,3,3,7,5,75.6,59.1,1
7.75,68,10,5,0,2,0,2,93.6,34.09,0
7.04,59,10,4,3,11,6,7,88.4,77.55,1
6.65,92,8,7,3,8,3,2,80.7,43.1,0
8.33,66,1,3,0,7,4,9,67.3,42.88,0
6.64,57,8,7,0,10,5,9,66.5,38.96,0
7.57,43,9,9,3,7,5,3,81.0,56.62,1
7.02,40,6,1,1,5,2,8,86.4,34.67,0
7.98,89,10,8,4,12,3,4,82.7,89.75,1
7.83,40,5,8,4,13,1,3,65.6,57.31,1
8.54,97,6,9,1,9,0,1,85.8,52.88,0
6.99,65,6,9,0,5,1,5,83.1,50.76,0
7.23,84,9,5,3,2,1,4,65.2,52.38,0
6.52,59,4,3,4,3,3,1,68.6,32.7,0
7.06,91,2,3,3,4,7,10,86.3,54.73,1
7.88,62,9,5,1,15,0,8,75.2,57.58,1
8.26,49,2,4,3,5,2,8,97.1,47.34,0
6.58,98,10,5,1,13,6,8,84.0,74.03,1
8.37,50,9,6,0,3,1,3,72.2,42.53,0
8.86,80,2,6,1,12,0,6,77.9,64.85,1
7.91,80,8,8,1,14,2,7,78.8,73.26,1
9.38,44,9,7,4,7,6,9,69.3,67.53,1
6.73,97,10,5,3,5,1,5,67.0,60.64,1
6.26,40,9,5,4,5,0,9,86.4,46.1,0
5.72,56,10,4,2,6,6,6,88.1,46.29,0
9.0,61,9,0,1,7,3,10,85.2,58.88,1
8.15,73,2,8,2,10,7,10,96.2,71.08,1
7.44,95,4,8,4,10,5,10,71.5,72.29,1
7.78,84,7,8,3,8,5,4,98.1,72.84,1
6.37,80,2,10,4,9,1,1,67.2,37.71,0
9.95,68,1,7,3,11,1,1,65.8,56.82,1
7.63,43,3,9,3,4,6,10,56.9,74.13,1
7.61,44,4,2,0,5,0,5,72.7,17.78,0
8.23,50,8,0,1,15,5,3,72.0,47.99,0
7.98,95,6,10,4,5,1,5,84.3,56.8,1
7.72,90,2,7,3,8,2,5,80.9,55.88,1
6.71,60,9,6,4,9,1,1,63.7,53.22,0
7.97,74,2,4,4,7,5,8,73.3,66.84,1
9.38,51,5,9,3,15,4,5,73.5,75.3,1
8.85,65,4,6,2,5,7,5,56.7,63.39,1
9.09,90,7,9,1,3,5,9,66.2,91.34,1
6.99,58,8,3,1,1,2,8,68.8,52.56,0
6.51,84,5,8,0,11,0,1,95.2,36.98,0
7.37,99,10,10,0,9,2,3,80.3,54.51,1
7.56,46,5,9,0,5,4,7,85.9,47.6,0
8.59,86,2,1,1,9,4,1,60.0,32.45,0
5.81,94,8,8,2,10,1,1,92.3,53.61,0
9.03,46,2,8,1,15,1,5,93.6,49.29,0
7.34,65,10,4,1,12,5,9,54.0,64.5,1
7.07,79,6,10,1,13,3,6,69.5,68.1,1
6.49,44,8,0,1,14,7,10,83.9,55.6,1
5.85,60,6,6,2,4,2,2,85.7,28.44,0
8.32,53,4,9,0,5,5,9,69.9,64.27,1
7.57,43,4,9,4,4,3,6,74.3,44.51,0
6.21,62,6,3,0,2,5,5,70.8,29.26,0
6.2,81,4,8,0,12,7,5,79.3,52.23,0
7.16,59,8,5,4,1,7,3,92.4,57.18,1
9.17,54,9,2,1,8,4,6,68.7,59.63,1
7.24,89,1,5,2,4,1,4,90.0,44.31,0
6.0,91,4,9,2,5,1,10,68.6,55.85,1
7.25,84,4,5,0,6,7,2,67.8,39.11,0
7.23,68,2,4,4,14,5,3,87.8,52.92,0
4.8,47,6,1,3,8,7,9,89.1,42.26,0
7.45,80,3,9,1,11,1,9,88.2,66.94,1
7.27,87,7,9,0,8,0,6,62.2,49.18,0
8.2,58,5,1,2,7,5,10,72.4,62.86,1
9.35,87,4,6,4,4,4,10,87.9,81.52,1
8.63,78,5,1,4,6,6,9,78.5,67.61,1
7.23,85,8,5,0,4,5,4,65.1,51.33,0
6.39,67,3,4,3,15,5,5,83.5,48.82,0
10.0,85,7,3,2,14,1,10,69.4,84.37,1
7.56,96,6,6,0,7,4,6,99.5,60.81,1
7.51,66,1,7,3,12,5,9,96.5,63.63,1
7.48,43,7,3,4,13,1,5,85.2,58.97,1
7.7,97,7,0,1,12,7,8,94.3,71.45,1
7.36,54,1,0,2,15,2,1,78.8,36.49,0
6.93,74,9,0,2,13,4,5,87.2,61.65,1
6.95,76,6,10,3,13,3,10,95.7,82.96,1
7.47,40,2,0,0,11,0,1,80.9,9.09,0
6.96,42,5,4,4,14,3,10,74.9,77.72,1
6.79,86,4,3,3,1,6,6,57.5,38.82,0
7.61,63,7,8,1,5,7,7,77.0,68.19,1
7.25,66,8,2,1,15,4,5,87.9,58.24,1
9.0,79,1,6,1,14,5,1,89.3,47.58,0
4.85,100,5,10,3,10,1,6,84.1,56.38,1
8.59,75,3,7,4,12,6,10,71.5,81.78,1
8.75,73,1,5,2,15,4,5,54.3,64.6,1
5.43,68,3,9,0,10,0,6,72.1,30.52,0
7.16,63,6,0,2,15,4,10,74.3,57.82,1
7.13,63,7,7,4,4,6,7,74.2,52.05,0
6.09,81,8,9,2,11,1,7,85.4,73.49,1
6.72,43,4,2,3,7,3,2,100.0,28.2,0
6.39,42,3,7,1,13,2,3,79.5,37.08,0
9.25,73,5,3,4,9,3,6,75.4,67.75,1
8.44,96,9,7,4,5,1,3,74.9,69.5,1
8.77,88,6,10,2,4,6,2,79.5,72.12,1
8.22,62,9,0,3,15,1,4,68.1,66.95,1
6.37,92,6,2,2,9,7,5,79.4,55.65,1
6.98,95,2,5,2,5,0,10,83.4,56.81,1
7.99,91,5,8,4,9,4,9,80.5,83.32,1
6.28,62,9,1,2,8,7,3,83.5,52.64,0
8.21,84,8,10,1,4,4,3,83.2,60.34,1
7.26,44,7,0,2,11,3,6,56.7,48.87,0
7.13,70,1,9,1,11,6,5,85.6,60.05,1
8.21,92,4,2,4,7,2,6,69.9,66.07,1
7.94,80,7,3,3,5,2,7,64.8,54.54,1
7.14,96,7,10,1,10,0,3,64.7,54.52,1
8.66,100,6,4,3,4,1,5,83.2,64.15,1
6.42,96,8,2,3,5,0,8,75.3,46.23,0
8.12,99,6,9,1,5,4,4,57.8,69.91,1
8.09,93,10,10,4,11,5,10,83.7,99.93,1
7.19,45,3,1,0,15,5,2,60.7,30.39,0
7.83,76,4,1,3,9,5,4,79.7,48.74,0
6.25,96,3,6,3,12,1,2,80.9,39.45,0
8.42,49,1,8,4,9,0,3,88.6,47.35,0
7.32,79,10,9,4,6,7,4,99.4,80.91,1
6.98,46,5,1,2,14,6,4,61.6,46.89,0
8.55,78,1,6,4,4,3,10,77.4,67.95,1
6.8,77,1,6,3,15,4,9,74.7,64.7,1
6.09,60,2,10,1,2,5,10,83.2,47.07,0
5.94,100,4,6,0,14,6,6,80.6,57.56,1
8.11,59,6,2,2,3,2,9,73.8,60.24,1
6.22,42,8,6,1,2,7,4,72.7,43.99,0
9.25,90,3,0,0,5,0,9,64.6,51.53,0
5.42,61,1,9,0,6,4,9,89.9,41.64,0
9.2,86,3,0,0,11,4,6,83.5,43.91,0
7.71,43,3,4,1,5,2,5,89.0,29.56,0
7.4,67,5,1,2,2,7,3,74.3,42.78,0
6.96,51,4,8,2,12,2,5,70.1,48.83,0
7.9,77,4,6,0,5,2,3,65.1,41.36,0
7.46,90,9,3,1,9,5,5,82.3,70.77,1
8.6,75,7,3,0,4,7,5,65.5,57.12,1
7.61,86,4,1,4,12,5,2,100.0,65.54,1
7.65,80,3,4,2,10,0,9,62.3,53.79,0
7.14,44,6,3,3,2,2,7,81.3,39.1,0
7.44,52,3,0,0,3,3,6,96.8,28.74,0
7.81,62,6,7,4,3,4,5,85.2,56.72,1
5.79,97,9,2,2,9,7,4,80.1,64.88,1
6.15,89,6,5,1,4,2,8,66.4,51.18,0
8.24,69,4,3,2,15,7,2,61.4,57.54,1
7.67,76,5,8,1,1,4,8,87.2,65.07,1
7.32,64,6,6,1,1,1,1,96.1,22.71,0
7.52,87,3,8,0,15,6,10,72.7,73.09,1
7.85,66,8,9,0,7,1,1,64.3,36.41,0
6.96,90,4,2,2,7,2,3,48.5,36.63,0
6.72,53,8,0,4,2,4,5,66.2,40.89,0
7.7,96,10,4,2,9,6,6,76.6,76.79,1
6.52,87,10,2,3,9,1,4,97.2,57.83,1
7.91,98,3,5,1,5,2,7,86.1,62.17,1
5.8,86,10,7,1,15,4,7,81.7,63.17,1
8.53,93,7,10,0,15,2,2,73.2,69.59,1
7.97,75,9,3,4,3,5,2,71.0,58.85,1
7.76,78,4,4,0,3,4,2,94.9,28.04,0
8.48,55,8,4,3,12,1,2,80.4,50.8,0
9.17,95,3,3,2,3,2,9,52.8,57.6,1
8.51,61,7,3,2,6,7,5,69.9,65.19,1
5.66,60,3,3,4,4,1,8,67.7,40.89,0
6.22,93,7,3,0,8,2,5,71.4,34.09,0
6.88,60,10,3,0,15,7,5,84.8,56.93,1
7.53,47,10,4,3,13,7,1,76.7,71.83,1
8.02,88,6,1,2,11,0,6,77.1,55.1,1
6.77,55,2,1,0,13,7,4,93.8,34.05,0
7.69,98,3,8,4,11,1,3,69.6,64.93,1
6.74,94,6,1,2,11,1,6,100.0,57.68,1
6.89,70,4,5,3,5,3,2,69.9,37.8,0
6.09,81,6,1,4,1,6,8,79.1,55.96,1
6.58,49,1,4,1,9,5,1,74.6,23.37,0
6.15,71,10,3,3,1,1,9,79.5,57.35,1
6.52,98,1,6,4,6,4,8,83.3,61.26,1
8.55,73,3,6,0,1,6,1,83.2,42.85,0
6.55,48,8,5,1,3,7,10,69.0,49.04,0
10.0,56,8,9,3,15,2,9,64.5,83.73,1
7.99,50,4,4,0,10,0,2,100.0,40.02,0
7.68,71,6,0,1,5,4,3,72.2,36.95,0
6.64,49,8,2,2,15,6,2,86.4,50.43,0
8.2,61,7,8,0,10,4,8,58.7,59.89,1
6.92,96,7,0,4,7,4,2,74.6,56.44,1
7.62,56,4,4,3,14,4,10,76.5,62.37,1
10.0,43,9,1,1,10,6,2,83.7,56.84,1
7.4,87,10,3,0,8,0,1,45.3,42.22,0
8.65,91,6,10,2,12,7,7,80.0,92.81,1
6.8,86,3,0,3,9,3,2,64.2,33.51,0
7.47,64,5,2,3,6,5,10,81.9,72.26,1
9.27,98,5,9,0,15,7,5,65.6,79.1,1
6.87,60,5,6,2,11,1,5,67.7,40.13,0
9.31,76,8,9,1,9,6,3,74.7,74.14,1
8.21,77,9,2,0,8,4,3,65.4,46.19,0
6.94,88,9,3,1,9,7,3,72.3,57.57,1
8.13,40,6,1,3,10,1,6,63.7,46.54,0
8.47,64,6,2,1,4,6,4,56.0,45.6,0
8.12,90,9,8,2,9,1,3,90.2,61.75,1
5.93,75,4,2,4,15,4,2,62.4,50.39,0
6.77,56,6,10,2,7,3,3,75.9,42.46,0
7.25,80,4,4,1,5,6,4,87.0,39.84,0
7.43,63,1,1,0,5,1,6,70.6,27.29,0
8.12,41,7,3,3,1,2,4,68.1,51.49,0
7.68,79,10,6,4,2,1,8,80.7,68.3,1
6.16,54,6,6,0,10,5,3,91.4,44.01,0
7.88,71,9,2,0,3,4,3,64.0,47.17,0
8.11,78,7,4,2,14,0,3,76.2,60.79,1
8.06,98,7,0,1,14,1,8,57.2,57.16,1
8.58,45,2,9,2,8,3,4,73.3,44.14,0
8.33,40,9,9,1,6,2,1,78.4,35.55,0
7.96,86,10,9,2,12,2,2,67.7,66.45,1
7.43,62,9,10,0,10,0,10,72.5,71.75,1
5.84,97,6,0,3,11,7,2,61.1,39.36,0
7.93,78,3,4,1,13,5,3,78.9,54.9,1
7.71,100,1,9,4,15,0,6,90.7,65.69,1
7.77,96,4,8,4,14,5,8,64.8,81.93,1
6.22,56,3,0,0,5,1,1,70.5,13.25,0
6.42,73,1,0,2,13,4,9,84.0,42.14,0
8.55,98,3,3,2,1,3,1,92.5,45.65,0
7.46,80,4,3,0,12,2,10,60.1,49.21,0
8.18,68,8,1,4,11,0,2,76.0,57.61,1
7.53,48,9,8,4,12,3,3,81.4,67.51,1
7.53,52,3,8,2,9,5,7,76.8,57.1,1
8.44,45,6,1,1,3,4,9,48.3,53.87,0
6.98,45,10,8,3,3,2,3,84.0,55.64,1
7.6,59,5,5,1,2,2,8,96.2,43.93,0
7.04,91,6,7,4,4,5,9,79.4,72.63,1
7.07,92,4,9,1,12,4,10,65.6,68.22,1
7.19,42,10,3,3,2,2,7,71.8,50.18,0
7.72,56,6,1,1,13,4,4,99.2,63.71,1
7.02,88,7,1,1,9,2,4,88.9,48.06,0
8.76,51,9,8,1,12,1,4,85.7,50.59,0
6.61,87,10,0,1,10,5,6,82.3,52.07,0
7.31,86,7,6,0,7,4,4,70.1,38.42,0
7.06,84,6,10,4,8,3,5,75.6,66.88,1
8.95,94,1,2,3,3,7,9,77.1,53.55,0
7.7,40,2,2,4,6,1,7,84.6,38.25,0
8.53,56,1,1,0,15,6,8,96.1,43.56,0
6.01,42,9,9,0,10,3,5,91.4,49.98,0
7.77,65,10,5,0,6,5,5,61.0,53.02,0
8.39,54,10,9,0,13,2,7,80.7,70.75,1
7.58,75,9,1,1,1,6,8,86.8,55.07,1
8.57,71,7,9,4,6,3,9,85.4,73.5,1
6.98,71,2,3,2,13,1,2,70.4,38.54,0
8.91,43,6,9,3,14,6,3,100.0,85.18,1
9.8,57,4,8,0,3,6,2,62.7,51.83,0
7.14,88,1,8,4,11,4,10,65.0,68.13,1
7.05,58,1,5,0,3,0,7,80.8,19.82,0
8.95,82,5,3,0,3,3,2,100.0,39.23,0
9.08,91,2,6,0,10,0,2,68.0,47.44,0
6.98,74,4,0,0,11,5,2,74.8,38.75,0
7.08,79,1,3,0,15,3,4,90.9,41.76,0
7.22,53,4,4,3,11,3,1,77.8,46.23,0
6.16,97,6,7,4,15,4,2,74.0,67.75,1
6.58,72,10,1,0,10,2,3,84.8,43.25,0
6.5,53,4,4,0,11,1,7,81.3,32.71,0
6.73,73,1,5,0,8,1,10,90.4,44.0,0
7.47,100,7,4,0,13,1,1,93.5,43.93,0
7.73,94,2,8,1,5,7,6,81.7,59.72,1
9.05,43,9,9,1,4,5,3,81.5,62.11,1
6.5,63,3,0,2,13,6,3,80.6,48.43,0
8.48,98,8,2,0,9,2,4,83.9,47.38,0
7.29,68,8,1,2,9,0,4,78.7,47.0,0
7.45,58,3,2,3,1,1,7,78.0,47.93,0
8.17,45,4,9,2,2,7,3,92.4,57.25,1
6.38,96,2,8,4,8,0,8,96.2,66.89,1
7.88,72,4,8,1,5,2,8,59.9,56.94,1
7.67,88,9,9,1,7,5,7,78.1,80.38,1
7.99,79,2,1,0,1,2,2,69.7,16.66,0
7.79,58,3,2,0,12,4,5,74.3,31.7,0
9.96,92,4,3,3,10,6,6,82.8,77.1,1
6.86,40,5,8,3,12,1,10,86.0,48.82,0
6.97,44,1,2,4,5,5,4,76.7,43.66,0
6.88,66,7,6,0,11,4,10,55.0,64.15,1
6.94,55,10,2,0,12,1,5,66.4,39.44,0
6.86,45,7,6,3,3,2,9,88.8,52.78,0
8.69,79,9,6,3,10,2,7,45.1,72.19,1
8.92,52,4,8,3,12,7,2,92.2,67.43,1
6.93,87,6,1,1,12,3,1,84.3,41.63,0
6.67,74,2,5,2,14,3,2,93.8,47.63,0
7.97,58,4,8,2,2,2,3,75.6,42.71,0
6.95,51,2,1,0,2,2,2,53.3,15.83,0
8.13,55,10,1,1,9,0,3,83.2,47.23,0
7.7,98,5,4,3,13,7,10,93.3,79.2,1
5.98,82,7,9,0,4,6,9,89.1,67.12,1
9.05,49,1,9,1,4,0,4,70.0,32.56,0
9.3,64,10,9,4,7,6,9,79.0,93.36,1
6.89,59,10,7,1,10,4,3,71.6,58.93,1
7.11,70,7,10,0,10,3,1,68.2,42.53,0
7.79,43,10,8,2,13,3,5,89.5,69.03,1
7.83,83,6,1,3,2,7,10,63.6,66.92,1
8.16,62,6,4,4,3,2,10,67.3,58.37,1
9.51,41,8,6,1,3,2,2,64.8,46.02,0
7.32,95,8,5,0,6,4,4,60.1,49.11,0
6.7,61,6,5,0,3,5,2,79.8,29.65,0
6.12,90,3,6,3,11,5,2,91.9,65.28,1
6.77,96,5,2,0,5,7,3,75.8,35.88,0
7.47,76,2,2,0,4,5,5,59.9,38.84,0
9.29,47,5,9,3,3,3,4,88.1,58.91,1
6.98,46,9,8,4,8,0,2,98.2,48.59,0
7.72,53,10,7,2,14,5,10,70.2,79.1,1
7.48,95,1,4,2,10,1,2,72.3,44.68,0
8.69,94,10,5,1,3,7,6,84.2,78.43,1
10.0,42,5,10,4,6,4,7,97.5,89.71,1
6.97,89,6,9,1,13,5,10,71.8,91.8,1
7.01,55,7,0,2,15,1,6,62.0,46.43,0
8.54,94,9,9,3,7,5,7,85.6,82.57,1
8.18,58,6,0,0,7,0,1,87.6,30.81,0
9.35,90,5,3,2,2,0,6,78.1,54.01,1
8.08,57,7,1,4,14,5,3,71.3,65.2,1
7.14,91,1,10,2,3,7,1,89.9,42.17,0
8.09,55,5,6,4,12,7,8,84.3,90.42,1
8.61,47,2,1,4,10,1,4,68.8,49.1,0
8.32,99,4,9,4,10,4,10,78.6,77.22,1
8.01,72,7,1,1,15,1,8,61.8,51.9,0
8.57,88,5,4,3,4,4,10,86.2,77.19,1
8.67,51,6,3,2,7,5,4,74.9,59.26,1
8.88,92,2,7,3,2,4,4,72.8,51.21,0
8.15,50,3,3,0,3,2,10,77.6,45.64,0
7.33,44,7,5,2,7,3,4,78.5,34.32,0
7.65,66,2,4,3,7,6,6,88.7,54.42,1
8.71,51,6,10,3,15,3,9,85.1,89.27,1
6.68,56,5,1,0,10,0,5,76.1,25.1,0
7.87,45,10,10,4,3,2,10,87.2,68.43,1
7.11,72,1,7,2,12,3,8,82.8,57.21,1
7.53,44,10,1,2,1,5,8,72.9,47.11,0
8.78,96,4,8,0,12,4,4,76.5,67.1,1
7.69,67,2,8,4,3,4,10,76.2,59.88,1
7.55,53,4,2,2,5,1,9,84.1,40.5,0
6.14,44,1,3,2,7,1,9,73.6,20.01,0
8.25,93,2,7,2,4,7,5,73.3,61.17,1
8.15,95,8,8,4,13,4,6,100.0,87.62,1
9.66,98,6,2,0,13,7,5,89.3,64.17,1
7.19,72,2,4,2,11,5,3,68.9,45.13,0
7.72,89,6,10,3,11,4,8,84.9,87.46,1
7.75,87,10,7,4,15,1,9,79.4,86.26,1
9.08,80,9,2,1,1,3,4,82.7,55.54,1
7.4,58,7,6,0,6,7,9,79.6,60.45,1
7.78,61,9,10,3,2,7,9,92.3,72.71,1
8.11,44,5,7,2,12,0,7,82.1,68.92,1
7.69,98,7,9,1,3,1,8,77.3,61.24,1
7.05,41,7,10,0,4,5,3,90.5,48.42,0
7.69,69,3,2,4,6,7,5,80.8,60.02,1
8.57,86,7,1,1,6,3,3,79.5,48.53,0
6.47,78,1,9,1,7,3,7,81.8,50.92,0
7.63,43,9,6,3,5,3,6,76.9,59.51,1
6.8,72,10,8,0,7,2,3,78.1,40.47,0
8.7,52,6,0,3,2,2,9,71.0,50.08,0
5.98,59,5,2,3,1,6,1,69.0,25.01,0
6.94,93,7,4,2,12,3,10,66.0,64.97,1
7.88,46,5,2,4,10,7,3,61.3,44.26,0
9.07,54,10,0,1,8,5,10,67.4,72.53,1
7.43,62,5,6,0,1,4,7,75.9,52.81,0
6.94,53,10,6,4,12,5,3,79.2,70.94,1
9.38,62,7,9,4,2,2,3,74.7,73.71,1
6.05,58,10,7,0,11,1,2,49.7,34.71,0
5.3,93,7,4,4,12,7,9,96.9,69.47,1
7.94,68,3,9,2,10,6,4,91.0,57.56,1
7.0,95,3,4,4,6,2,10,83.3,67.65,1
6.48,59,10,4,2,1,4,6,100.0,52.55,0
8.21,68,3,0,1,10,0,2,66.3,30.01,0
7.74,63,6,9,1,3,6,9,100.0,74.54,1
6.94,57,6,4,3,7,2,7,66.4,52.25,0
6.22,49,3,5,2,12,5,10,80.9,48.32,0
8.37,80,3,0,1,8,6,5,62.7,41.91,0
8.15,96,8,10,4,4,7,7,78.2,91.37,1
7.4,47,8,6,0,12,5,4,82.6,57.49,1
9.35,65,7,0,0,3,3,10,76.1,58.06,1
6.43,68,10,10,2,1,3,7,86.6,72.65,1
5.97,49,4,1,3,12,3,2,79.2,41.84,0
6.81,56,4,1,4,9,6,7,71.7,54.7,1
7.45,41,3,4,2,10,0,4,71.2,29.82,0
7.74,45,5,9,0,6,4,4,87.7,38.12,0
7.26,97,3,6,2,6,7,1,70.2,46.95,0
7.85,44,8,0,4,9,6,3,89.0,59.48,1
6.25,67,7,9,1,1,1,5,92.7,54.65,1
8.94,80,3,0,4,6,7,5,58.0,61.02,1
7.42,44,9,0,1,12,5,2,91.6,50.64,0
8.62,57,5,5,1,5,5,4,100.0,51.13,0
7.84,65,9,1,1,13,6,1,81.0,54.75,1
7.96,59,7,0,2,11,6,9,85.2,68.24,1
8.07,80,7,5,0,15,4,1,90.4,43.19,0
7.95,88,6,1,2,6,0,6,74.7,46.8,0
8.14,66,2,5,0,14,6,7,80.2,61.64,1
8.83,88,9,9,4,11,3,3,62.2,81.78,1
7.7,51,6,7,3,8,4,1,79.7,43.72,0
8.21,46,8,1,4,5,1,7,84.0,41.14,0
7.41,98,1,10,2,2,3,3,84.2,47.54,0
8.94,42,5,8,2,12,1,10,90.8,70.29,1
6.82,49,1,7,0,12,2,6,68.7,30.31,0
9.3,73,10,9,2,2,1,6,71.6,71.48,1
7.46,64,8,0,1,10,3,4,100.0,49.95,0
6.07,74,8,6,2,5,2,6,76.2,53.57,0
7.63,55,1,9,0,3,3,10,80.4,33.18,0
6.82,41,9,5,0,10,5,4,77.2,36.6,0
8.34,99,2,5,1,3,3,8,68.1,52.32,0
6.85,63,9,5,0,8,2,9,97.5,59.47,1
7.05,49,1,5,3,7,1,2,71.7,33.64,0
5.61,77,10,9,4,1,5,7,64.5,66.87,1
7.05,61,9,6,2,12,0,9,72.6,60.5,1
5.08,65,4,2,3,13,0,9,54.0,37.65,0
5.92,82,9,5,2,12,7,5,70.2,56.74,1
8.26,94,7,2,3,5,0,1,66.4,51.85,0
8.29,78,6,6,2,9,0,6,85.4,55.42,1
7.93,66,5,6,1,4,4,8,69.9,59.26,1
6.53,68,9,7,0,1,0,1,88.7,33.77,0
7.45,86,2,1,0,8,2,2,94.8,30.98,0
7.5,77,2,8,1,5,6,1,87.4,40.13,0
6.34,59,9,4,3,2,0,5,75.4,34.16,0
9.0,66,3,8,4,15,3,2,79.7,63.92,1
8.38,80,8,9,3,12,6,10,59.7,87.32,1
7.28,93,9,4,0,1,0,10,76.4,39.36,0
7.53,59,8,6,4,14,6,4,67.7,68.52,1
7.71,83,4,10,2,12,1,1,86.3,61.46,1
5.46,58,1,8,4,12,2,7,100.0,55.05,1
7.25,59,4,3,3,12,2,8,84.0,52.53,0
6.82,74,9,1,1,3,7,5,54.1,44.63,0
